67 25 13 12 10 4 12
77 25 13 14 11 7 18
89 25 13 15 13 10 25
100 25 13 16 15 14 30
118 25 13 18 21 20 36
134 25 13 21 23 27 43
154 25 13 24 26 34 53
169 25 13 27 26 42 60
180 25 13 30 28 46 65
190 25 13 34 28 50 71
209 25 13 37 32 59 77
221 25 13 41 33 63 84
232 25 13 44 34 67 90
248 25 13 45 35 72 100
275 25 13 49 43 81 110
286 25 13 51 45 86 114
303 25 13 52 50 91 121
320 25 13 55 51 98 130
330 25 13 61 52 102 135
343 25 13 64 52 108 142
358 25 13 68 57 112 148
369 25 13 70 60 115 153
381 25 13 72 61 122 157
392 25 13 75 63 126 162
414 25 13 77 65 133 175
428 25 13 80 67 136 184
438 25 13 83 67 145 185
449 25 13 86 69 147 192
463 25 13 90 73 152 197
486 25 13 92 74 159 212
496 25 13 96 77 161 217
510 25 13 98 78 166 225
540 25 13 99 78 175 246
550 25 13 100 80 177 252
560 25 13 101 81 182 256
573 25 13 105 83 184 265
583 25 13 107 84 188 270
599 25 13 112 88 193 277
612 25 13 114 89 201 281
630 25 13 117 93 208 288
645 25 13 120 101 209 294
657 25 13 124 102 216 298
671 25 13 126 107 218 305
685 25 13 128 107 220 317
698 25 13 130 109 223 325
708 25 13 134 110 228 329
728 25 13 138 117 231 339
738 25 13 141 118 234 345
755 25 13 143 120 241 353
769 25 13 145 125 245 358
781 25 13 149 128 247 365
796 25 13 150 129 252 374
815 25 13 152 133 257 384
828 25 13 153 135 263 389
839 25 13 156 137 266 395
866 25 13 160 143 274 408
878 25 13 161 144 278 415
889 25 13 164 146 280 422
900 25 13 165 148 282 429
910 25 13 167 150 283 436
923 25 13 168 152 284 446
949 25 13 174 157 292 459
963 25 13 175 161 296 465
979 25 13 176 164 302 472
992 25 13 177 166 303 482
1003 25 13 179 167 310 485
1020 25 13 180 171 315 493
1039 25 13 182 177 321 500
1052 25 13 184 178 330 503
1066 25 13 187 179 337 509
1078 25 13 190 180 340 517
1088 25 13 192 181 345 521
1101 25 13 194 183 346 531
1117 25 13 196 186 349 541
1130 25 13 197 187 352 550
1141 25 13 199 190 356 554
1151 25 13 205 192 361 557
1186 25 13 207 195 370 580
1202 25 13 210 196 374 591
1212 25 13 213 197 379 595
1223 25 13 215 198 384 600
1236 25 13 218 200 385 610
1262 25 13 219 205 397 619
1275 25 13 221 207 402 625
1291 25 13 223 209 406 635
1313 25 13 225 213 413 646
1328 25 13 226 216 419 652
1346 25 13 228 219 425 661
1364 25 13 230 220 434 669
1396 25 13 231 228 445 682
1406 25 13 234 229 449 687
1429 25 13 235 233 456 699
1443 25 13 236 236 461 705
1453 25 13 240 237 463 712
1463 25 13 243 238 465 719
1476 25 13 244 242 467 726
1502 25 13 246 244 475 742
1525 25 13 248 248 481 755
1543 25 13 249 250 489 763
1555 25 13 251 252 494 768
1565 25 13 253 253 497 774
1578 25 13 254 254 505 778
1590 25 13 256 256 508 785
1601 25 13 259 258 511 791
1611 25 13 263 258 515 797
1629 25 13 268 260 525 803
1647 25 13 271 261 529 816
1660 25 13 272 263 532 824
1670 25 13 277 265 535 829
1680 25 13 280 265 537 837
1691 25 13 283 267 542 841
1709 25 13 284 271 548 849
1722 25 13 285 272 552 857
1741 25 13 286 274 560 866
1751 25 13 287 278 563 869
1761 25 13 289 280 566 874
1793 25 13 291 285 573 894
1804 25 13 292 289 577 897
1828 25 13 294 293 585 909
1841 25 13 295 294 591 915
1856 25 13 297 298 596 921
1870 25 13 301 299 602 928
1886 25 13 305 303 608 934
1904 25 13 307 305 615 943
1921 25 13 308 308 622 950
1944 25 13 309 312 632 959
1958 25 13 310 315 637 965
1975 25 13 314 318 643 973
1992 25 13 316 321 647 983
2003 25 13 317 322 653 987
2013 25 13 319 324 658 990
2023 25 13 321 324 663 995
2034 25 13 322 325 665 1003
2054 25 13 326 328 672 1013
2083 25 13 329 331 681 1030
2099 25 13 331 333 687 1038
2114 25 13 332 334 693 1046
2128 25 13 334 335 697 1055
2140 25 13 337 338 700 1061
2160 25 13 341 344 706 1069
2181 25 13 343 346 714 1080
2195 25 13 346 348 715 1091
2207 25 13 348 349 720 1097
2226 25 13 350 355 725 1105
2274 25 13 352 361 742 1130
2309 25 13 357 367 751 1150
2323 25 13 360 371 754 1157
2334 25 13 363 372 762 1159
2344 25 13 365 374 765 1164
2371 25 13 367 383 775 1172
2389 25 13 368 385 784 1179
2405 25 13 369 389 788 1187
2421 25 13 371 394 792 1194
2431 25 13 372 394 794 1202
2446 25 13 377 397 800 1208
2481 25 13 379 406 810 1224
2491 25 13 381 406 813 1231
2511 25 13 383 409 821 1240
2526 25 13 385 414 822 1249
2536 25 13 387 414 825 1256
2546 25 13 388 415 830 1260
2557 25 13 391 416 835 1265
2568 25 13 393 417 840 1270
2582 25 13 394 420 846 1275
2617 25 13 397 431 856 1289
2639 25 13 401 433 862 1303
2651 25 13 405 434 865 1311
2673 25 13 407 438 875 1319
2684 25 13 410 439 878 1326
2699 25 13 412 442 885 1331
2714 25 13 413 445 890 1338
2735 25 13 414 449 895 1350
2747 25 13 418 451 900 1355
2765 25 13 421 453 908 1363
2777 25 13 423 455 911 1370
2788 25 13 424 458 915 1374
2801 25 13 427 460 919 1381
2811 25 13 429 461 922 1387
2821 25 13 430 463 927 1390
2842 25 13 431 465 933 1403
2860 25 13 433 467 940 1412
2874 25 13 436 469 944 1420
2891 25 13 439 473 947 1430
2903 25 13 447 478 951 1433
2920 25 13 450 483 954 1442
2938 25 13 451 487 957 1453
2950 25 13 453 489 960 1460
2967 25 13 455 492 963 1471
2977 25 13 458 493 966 1477
2987 25 13 459 494 968 1484
3002 25 13 462 496 975 1490
3012 25 13 466 499 976 1496
3025 25 13 469 500 984 1500
3048 25 13 471 503 989 1515
3064 25 13 475 505 993 1525
3077 25 13 476 508 998 1530
3088 25 13 478 510 1003 1534
3102 25 13 479 515 1007 1539
3113 25 13 483 517 1008 1547
3128 25 13 485 519 1009 1559
3140 25 13 486 523 1012 1564
3151 25 13 489 524 1016 1570
3164 25 13 491 526 1020 1577
3176 25 13 493 527 1022 1586
3187 25 13 495 530 1026 1590
3220 25 13 497 539 1031 1609
3238 25 13 498 543 1040 1614
3257 25 13 500 545 1046 1625
3269 25 13 502 548 1050 1630
3279 25 13 504 548 1055 1635
